Item,Price
"White Chocolate Mocha (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (20oz)",5.15
"Peppermint Mocha (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (12oz)",4.65
"Peppermint Mocha (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (16oz)",5.25
"Peppermint Mocha (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (20oz)",5.65
Black Iced Tea (20oz),2.95
Black Iced Tea (24oz),3.45
Cold Brew Iced Coffee (20oz),3.5
Cold Brew Iced Coffee (24oz),4.2
Iced Americano (20oz),3.25
Iced Americano (24oz),3.95
"Iced Buckeye Mocha (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (20oz)",4.95
"Iced Buckeye Mocha (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (24oz)",5.65
"Iced Cafe Latte (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (20oz)",4.25
"Iced Café Latte (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (24oz)",4.95
"Iced Chai Latte (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (20oz)",4.45
"Iced Chai Latte (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (24oz)",5.15
"Iced Mocha (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (20oz)",4.65
"Iced Mocha (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (24oz)",5.35
"Iced TBC Mocha (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (20oz)",4.95
"Iced TBC Mocha (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (24oz)",5.65
"Iced White Mocha (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (20oz)",4.95
"Iced White Mocha (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (24oz)",5.65
"Iced Buckeye Mocha (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (20oz)",4.95
"Iced Buckeye Mocha (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (24oz)",5.65
"Iced Gingerbread Mocha (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (20oz)",4.95
"Iced Gingerbread Mocha (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (24oz)",5.65
"Iced Peppermint Mocha (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (20oz)",4.95
"Iced Peppermint Mocha (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (24oz)",5.65
Frozen Buckeye Mocha (16oz),4.95
Frozen Chai (16oz),4.95
Frozen TBC Mocha (16oz),4.95
Frozen White Mocha (16oz),4.95
"Smoothie (Strawberry, Mango, Peach, Strawberry/Banana)",4.45
Frozen Café Mocha (16oz),4.95
Frozen Vanilla Crème (16oz),4.95
Frozen Gingerbread Mocha (16oz),4.95
Frozen Peppermint Mocha (16oz),4.95
Turkey and White Cheddar Sub,6.75
Buffalo Chicken Sandwich,6.95
Asparagus and Hummus Wrap,6.75
Italian Sub Sandwich,7
Caprese Sandwich,7
Ham and Cheddar Sub (Gluten Free),6.5
"Bagel (Asiago Cheese, Blueberry, Cinnamon Raisin, Everything, Honey Wheat, Plain, Gluten Free, Pumpernickel) w/ Cream Cheese",2.75
"Cookie (Chocolate Chip, Oatmeal Raisin, Sea Salt Caramel Dark Chocolate, Sesame Tahini, White Chocolate Cherry Gluten Free)",1.25
"Muffin (Blueberry, Chocolate Chip, Cranberry Orange)",2.75
"Bread (Spinach Pimento Cheddar, Zucchini, Coconut)",2.5
Brownie,2.95
"Pastry (Butter Croissant, Cinnamon Brioche, Gouda)",3.5
Spinach and Feta Croissant,3.75
Score - Raspberry White Chocolate,3.75
"Nut Harvest (Almonds, Cashews)",2.75
Korean Salmon Salad,9.95
Grilled Chicken Caeser Salad,6.95
Power Green Salad,6.95
Dasani Water (20oz),1.95
"Juice (Orange, Apple)",2.75
Powerade Mountain Blast,2.5
"Fruit (Apple, Banana, Orange)",1
Grapes and Cheese,3.95
"Chips (Baked Lays, Doritos Cool Ranch, Sea Salt, Hot Cheetos)",1.25
Yogurt Parfait ,4.5
Yogurt Parfait (Dairy Free),4.95
"Yogurt (Yoplait Berry, Chobani Flip, Greek)",2.75
"Kind Bar (Dark Chocolate, Coconut, Almond, Nuts, Sea Salt)",2.75
Oatmeal,3.5
